Country,GDP per capita (USD),Life satisfaction
Afghanistan, 25229,19705602
Albania,51174,13191952
Algeria,48871,10735383
Argentina,59293,19690662
Armenia,52826,12619893
Australia,71835,48678684
Austria,72678,51857.69
Azerbaijan,51708,13726.77
Bahrain,66469,41480.58
Bangladesh,50246,48714463
Belarus,55335,19186775
Belgium,6834,48769727
Benin,50452,33231445
Bolivia,57159,7845171
Brazil,63301,14063982
Cameroon,51418,36664106
Canada,71033,46064254
Bulgaria,52655,22379094
Zambia,40734,32778164
Zimbabwe,31448,33534114
Vietnam,54108,8200332
Uruguay,64314,21608.43
United Arab Emirates,65605,63299.42
Angola, 7568998,3795
Belgium,498229926,6891
Colombia,14194516,6357
Germany,51879,67,6951
Guatemala,8206048,6454
Kuwait,54708,98,6105
Morocco,7105856,5235
Mexico, 19539262,6578
Netherlands,53847,83,7377
Nicaragua,5811805,6071
Portugal,31847537,5195
Qatar,95601805,6375
Rusia,25490709,5963
Peru,124036875,5715
Pakistan,4421582,5269
Denmark,54185008.7522
El Salvador,7.982.626,60.605
